sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,Khuyến học,9786044053783,Kukuzawa Yukichi,L,Văn học & Tiểu thuyết,NXB Thế Giới,1872,vi,Hà Công Thuận,
DS_main,Kiêu hãnh và định kiến,9786043198973,Jane Austen,L,Văn học & Tiểu thuyết,NXB Văn Học,2017,vi,Ngô Thanh Tùng,
DS_main,Lạc rừng,9786043170641,Trung Trung Đỉnh,L,Văn học & Tiểu thuyết,NXB Trẻ,2018,vi,Ngô Thanh Tùng,
DS_main,Làm Đĩ,9786043494839,Vũ Trọng Phụng,L,Văn học & Tiểu thuyết,NXB Văn Học,2023,vi,Ngô Thanh Tùng,
DS_main,Lão Hạc,9786326064278,Nam Cao,L,Văn học & Tiểu thuyết,NXB văn học,2022,vi,Ngô Thanh Tùng,
DS_main,Lối sống tối giản của người Nhật,9786044813110,Sasaki Fumio,L,Văn học & Tiểu thuyết,NXB Nhã Nam,2020,vi,Ngô Thanh Tùng,
DS_main,Lũ trẻ đường tàu,9786044968636,E. Nesbit,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2020,vi,Ngô Thanh Tùng,
DS_main,Lũ trẻ nhà Penderwicks,9786049807381,Jeanne Birdsall,L,Văn học & Tiểu thuyết,NXB tiếng Việt,2015,vi,Ngô Thanh Tùng,
DS_main,Mãi Mãi Tuổi Hai Mươi,9786045191149,Nguyễn Văn Thạc,H,Lịch sử,NXB Thanh Niên,2005,vi,Ngô Thanh Tùng,
DS_main,Mảnh đất lắm người nhiều ma,,Nguyễn Khắc Trường,L,Văn học & Tiểu thuyết,NXB Văn Nghệ TP.HCM,1999,vi,Ngô Thanh Tùng,
DS_main,Mắt biếc,9786041265936,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Trẻ,1990,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Minh Đạo Nhân Sinh,9786044052465,"Michael Puett, Christine Gross-Loh",Y,Tâm lý học & Phát triển cá nhân,NXB Tổng Hợp TP. Hồ Chí Minh,2016,vi,Ngô Thanh Tùng,
DS_main,Một thiên nằm mộng,9786042125635,Nguyễn Ngọc Thuần,L,Văn học & Tiểu thuyết,NXB Kim Đồng,2019,vi,Ngô Thanh Tùng,
DS_main,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,9786043334081,Ocean Vuong & Khánh Nguyên,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2021,vi,Ngô Thanh Tùng,
DS_main,Mùa gió chướng,,Nguyễn Quang Sáng,L,Văn học & Tiểu thuyết,NXB Văn Nghệ,1999,vi,Ngô Thanh Tùng,
DS_main,Mùa hè năm Petrus,9786041166974,Lê Văn Nghĩa,L,Văn học & Tiểu thuyết,NXB Trẻ,2013,vi,Ngô Thanh Tùng,
DS_main,Mưa đỏ,9786047465118,Chu Lai,L,Văn học & Tiểu thuyết,NXB Quân Đội Nhân Dân,2022,vi,Ngô Thanh Tùng,
DS_main,Nanh trắng,9786046917625,Jack London,L,Văn học & Tiểu thuyết,NXB Văn Học,2017,vi,Ngô Thanh Tùng,
DS_main,Nắng trong vườn,9786326062878,Thạch Lam,L,Văn học & Tiểu thuyết,NXB Văn Học,1938,vi,Ngô Thanh Tùng,
DS_main,Nếp gấp thời gian,9786044732473,Madeleine L’Engle,L,Văn học & Tiểu thuyết,NXB tiếng Việt,2023,vi,Ngô Thanh Tùng,
DS_main,Nếu Biết Trăm Năm Là Hữu Hạn,9786043925081,Phạm Lữ Ân,L,Văn học & Tiểu thuyết,NXB Thế giới,2024,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Nếu Tôi Biết Được Ở Tuổi 20,9786041139312,Tina Seelig,L,Văn học & Tiểu thuyết,NXB Trẻ,2020,vi,Ngô Thanh Tùng,
DS_main,Ngàn mặt trời rực rỡ,9786043722369,Khaled Hosseini,L,Văn học & Tiểu thuyết,NXB Văn Học,2018,vi,Ngô Thanh Tùng,
